dept_id,store_id,date,month,event_name_1,year,sales_sum,sell_price_avg
FOODS_3,WI_3,2016-05-20,5,,2016,1744,2.91066432
FOODS_1,TX_1,2016-05-17,5,,2016,245,3.41049608
FOODS_2,WI_3,2016-04-30,4,Pesach End,2016,639,4.21905811
FOODS_3,CA_2,2016-04-28,4,,2016,1775,2.91244005
FOODS_2,CA_1,2016-05-06,5,,2016,555,4.22717821
FOODS_1,WI_2,2016-05-09,5,,2016,456,3.51893829
FOODS_3,CA_2,2016-05-03,5,,2016,2320,2.9182134
FOODS_2,TX_3,2016-04-27,4,,2016,415,4.20967675
FOODS_2,CA_4,2016-05-10,5,,2016,411,4.22767926
FOODS_2,WI_1,2016-05-15,5,,2016,637,4.21822033
FOODS_2,WI_2,2016-05-03,5,,2016,521,4.21708263
FOODS_1,TX_3,2016-04-27,4,,2016,300,3.40935896
FOODS_2,WI_1,2016-05-11,5,,2016,361,4.21839584
FOODS_1,WI_2,2016-05-16,5,,2016,609,3.51889618
FOODS_3,TX_3,2016-05-04,5,,2016,1877,2.90868363
FOODS_3,CA_1,2016-05-18,5,,2016,2114,2.92696038
FOODS_3,CA_3,2016-05-11,5,,2016,3287,2.91441353
FOODS_3,CA_3,2016-04-25,4,,2016,1776,2.91220891
FOODS_3,CA_1,2016-05-17,5,,2016,1151,2.92695126
FOODS_3,CA_2,2016-05-09,5,,2016,2514,2.92114573
FOODS_1,TX_1,2016-05-02,5,,2016,235,3.41049968
FOODS_2,CA_3,2016-05-11,5,,2016,516,4.22969408
FOODS_1,TX_3,2016-05-15,5,,2016,275,3.45412396
FOODS_2,CA_4,2016-05-11,5,,2016,323,4.22728054
FOODS_3,TX_2,2016-05-09,5,,2016,1875,2.90778176
FOODS_2,TX_3,2016-05-14,5,,2016,612,4.22726091
FOODS_2,CA_1,2016-05-18,5,,2016,335,4.22719849
FOODS_3,CA_3,2016-05-02,5,,2016,3042,2.91495419
FOODS_1,CA_3,2016-05-16,5,,2016,833,3.33564869
FOODS_2,WI_3,2016-05-05,5,Cinco De Mayo,2016,1621,4.21957943
FOODS_2,CA_1,2016-05-12,5,,2016,381,4.22714931
FOODS_3,TX_3,2016-05-04,5,,2016,2043,2.91201356
FOODS_3,CA_4,2016-05-13,5,,2016,1050,2.9246903
FOODS_1,CA_1,2016-05-19,5,,2016,397,3.33061625
FOODS_1,TX_1,2016-05-07,5,,2016,236,3.41059831
FOODS_1,WI_2,2016-05-19,5,,2016,400,3.51915914
FOODS_1,WI_1,2016-05-17,5,,2016,474,3.51891304
FOODS_3,WI_1,2016-04-25,4,,2016,1516,2.9106028
FOODS_2,WI_1,2016-05-06,5,,2016,545,4.21795138
FOODS_3,CA_4,2016-05-05,5,Cinco De Mayo,2016,1829,2.92425832
FOODS_1,WI_2,2016-05-14,5,,2016,493,3.5188294
FOODS_3,CA_2,2016-05-03,5,,2016,1939,2.91808196
FOODS_3,CA_1,2016-05-18,5,,2016,1740,3.19509119
FOODS_3,TX_2,2016-05-20,5,,2016,1748,2.89816666
FOODS_3,TX_1,2016-05-08,5,Mother's day,2016,2261,2.90847383
FOODS_3,WI_3,2016-05-09,5,,2016,1402,2.91079299
FOODS_2,TX_1,2016-05-09,5,,2016,236,4.14291705
FOODS_1,TX_2,2016-05-10,5,,2016,218,3.41048919
FOODS_1,CA_3,2016-05-01,5,OrthodoxEaster,2016,561,3.33058505
FOODS_1,WI_3,2016-05-18,5,,2016,437,3.5191233
FOODS_3,CA_3,2016-04-30,4,Pesach End,2016,2744,2.91485266
FOODS_2,CA_2,2016-04-30,4,Pesach End,2016,402,4.22082174
FOODS_3,CA_2,2016-05-16,5,,2016,2240,2.91794245
FOODS_2,WI_1,2016-05-05,5,Cinco De Mayo,2016,506,4.21800616
FOODS_1,WI_2,2016-04-29,4,,2016,419,3.51888985
FOODS_2,CA_2,2016-04-26,4,,2016,404,4.21206514
FOODS_2,CA_1,2016-05-09,5,,2016,612,4.22747704
FOODS_2,CA_4,2016-05-03,5,Cinco De Mayo,2016,389,4.22778269
FOODS_3,CA_4,2016-04-28,4,,2016,1198,2.92525276
FOODS_1,CA_4,2016-04-28,4,,2016,299,3.32983307
FOODS_2,TX_2,2016-05-04,5,,2016,235,4.14334462
FOODS_1,TX_2,2016-05-13,5,,2016,498,3.41069246
FOODS_2,WI_1,2016-05-06,5,,2016,374,4.21794175
FOODS_2,CA_1,2016-05-04,5,,2016,476,4.22876153
FOODS_1,CA_4,2016-05-18,5,,2016,264,3.33064563
FOODS_1,WI_3,2016-05-14,5,,2016,390,3.51977416
FOODS_1,CA_4,2016-05-06,5,,2016,216,3.33077869
FOODS_3,CA_2,2016-05-10,5,,2016,1766,2.92101211
FOODS_1,WI_1,2016-05-16,5,,2016,296,3.51978278
FOODS_2,CA_3,2016-05-11,5,,2016,747,4.22980968
FOODS_3,CA_1,2016-05-09,5,,2016,1837,2.92696025
FOODS_2,WI_1,2016-04-26,4,,2016,1714,4.21824531
FOODS_3,CA_1,2016-04-26,4,,2016,1812,2.92585072
FOODS_3,CA_2,2016-04-26,4,,2016,1871,2.91902893
FOODS_2,CA_3,2016-04-30,4,Pesach End,2016,853,4.21708274
FOODS_1,WI_3,2016-05-13,5,,2016,337,3.51897422
FOODS_2,CA_1,2016-05-13,5,,2016,544,4.22745327
FOODS_2,TX_1,2016-05-01,5,OrthodoxEaster,2016,237,4.1429596
FOODS_3,WI_3,2016-05-17,5,,2016,2318,2.91078605
FOODS_3,TX_1,2016-05-05,5,Cinco De Mayo,2016,1661,2.9128775
FOODS_3,TX_1,2016-05-13,5,,2016,2171,2.9004848
FOODS_3,CA_2,2016-05-21,5,,2016,2980,2.92041505
FOODS_3,WI_2,2016-04-28,4,,2016,2188,2.91568095
FOODS_2,CA_2,2016-05-20,5,,2016,443,4.21700731
FOODS_3,CA_4,2016-05-17,5,,2016,2232,3.16672464
FOODS_1,WI_1,2016-05-09,5,,2016,299,3.51890592
FOODS_3,WI_1,2016-05-02,5,,2016,2846,2.91028744
FOODS_2,CA_2,2016-05-09,5,,2016,442,4.22217508
FOODS_2,CA_1,2016-05-09,5,,2016,402,4.21754438
FOODS_1,WI_2,2016-05-22,5,,2016,421,4.09689178
FOODS_1,WI_2,2016-05-10,5,,2016,494,3.51893744
FOODS_3,WI_2,2016-05-13,5,,2016,2065,2.91430134
FOODS_3,CA_3,2016-04-26,4,,2016,3277,2.91377239
FOODS_1,TX_3,2016-04-30,4,Pesach End,2016,305,3.41046786
FOODS_1,CA_3,2016-05-21,5,,2016,301,3.34239509
FOODS_2,WI_3,2016-05-06,5,,2016,496,4.21905237
FOODS_2,CA_1,2016-05-12,5,,2016,652,4.22745687
FOODS_1,TX_1,2016-05-04,5,,2016,232,3.41050374
FOODS_3,CA_2,2016-05-11,5,,2016,2667,2.92117902
FOODS_3,WI_3,2016-04-27,4,,2016,1710,2.91364097
FOODS_3,CA_2,2016-05-10,5,,2016,1963,2.92080062
FOODS_3,CA_2,2016-05-01,5,OrthodoxEaster,2016,1958,2.9076747
FOODS_2,WI_1,2016-04-27,4,,2016,748,4.21825827
FOODS_3,TX_2,2016-05-13,5,,2016,1939,2.90790209
FOODS_3,WI_1,2016-05-04,5,,2016,1515,2.91332773
