dept_id,store_id,date,month,event_name_1,year,sales_sum,sell_price_avg
FOODS_2,TX_3,2015-12-06,12,,2015,462,4.14354981
FOODS_2,WI_2,2012-09-08,9,,2012,489,4.00985474
FOODS_2,CA_4,2014-06-09,6,,2014,253,4.12881171
FOODS_2,TX_3,2012-12-02,12,,2012,463,3.99882068
FOODS_2,TX_2,2012-11-06,11,,2012,374,3.98856704
FOODS_2,CA_3,2013-09-10,9,,2013,607,4.04324295
FOODS_2,WI_1,2014-08-05,8,,2014,276,4.1531398
FOODS_2,CA_2,2011-09-22,9,,2011,126,3.73385813
FOODS_2,WI_1,2012-01-11,1,,2012,46,3.75413735
FOODS_2,TX_3,2014-05-20,5,,2014,406,3.875906
FOODS_2,WI_1,2012-08-28,8,,2012,21,3.59915495
FOODS_2,CA_1,2013-04-02,4,Pesach End,2013,453,4.13579046
FOODS_2,TX_1,2012-08-11,8,,2012,448,3.94798606
FOODS_2,WI_2,2016-03-13,3,,2016,987,4.22664885
FOODS_2,CA_4,2014-10-02,10,,2014,330,4.21439644
FOODS_2,TX_1,2013-06-01,6,,2013,358,4.009535
FOODS_2,WI_1,2015-02-28,2,,2015,447,4.26244985
FOODS_2,TX_3,2014-04-09,4,,2014,410,3.89518221
FOODS_2,TX_1,2014-04-24,4,,2014,258,3.91128235
FOODS_2,CA_4,2015-04-18,4,,2015,336,4.27330327
FOODS_2,TX_3,2013-03-02,3,,2013,367,3.97040901
FOODS_2,CA_1,2011-08-01,8,Ramadan starts,2011,626,3.94579015
FOODS_2,TX_3,2014-03-27,3,,2014,281,3.91006582
FOODS_2,TX_3,2012-03-30,3,,2012,211,3.90336677
FOODS_2,CA_2,2011-06-16,6,,2011,162,3.70507411
FOODS_2,TX_1,2012-02-20,2,PresidentsDay,2012,321,3.89104759
FOODS_2,WI_1,2011-12-17,12,,2011,0,3.65784031
FOODS_2,WI_1,2014-03-04,3,,2014,348,4.1803451
FOODS_2,WI_3,2011-09-12,9,,2011,555,3.94082979
FOODS_2,CA_3,2013-10-10,10,,2013,773,4.05720129
FOODS_2,TX_2,2013-08-28,8,,2013,256,4.0243737
FOODS_2,WI_3,2011-02-19,2,,2011,601,3.81715231
FOODS_2,CA_1,2012-03-02,3,,2012,573,4.09132357
FOODS_2,WI_3,2016-01-06,1,,2016,763,4.22653008
FOODS_2,CA_2,2013-02-11,2,,2013,123,3.72605998
FOODS_2,TX_2,2011-10-23,10,,2011,458,3.76518836
FOODS_2,WI_3,2011-02-02,2,,2011,721,3.72934008
FOODS_2,WI_2,2014-12-19,12,,2014,497,4.20759909
FOODS_2,CA_3,2013-11-05,11,,2013,609,4.02612935
FOODS_2,WI_2,2012-02-17,2,,2012,319,4.06742961
FOODS_2,CA_1,2015-01-09,1,,2015,410,4.20079917
FOODS_2,WI_3,2016-04-02,4,,2016,422,4.21932124
FOODS_2,CA_1,2011-12-12,12,,2011,769,4.03210749
FOODS_2,TX_1,2013-12-22,12,,2013,201,4.06617036
FOODS_2,WI_1,2015-05-27,5,,2015,481,4.24380401
FOODS_2,TX_3,2015-12-01,12,,2015,427,4.14541509
FOODS_2,CA_2,2013-10-13,10,,2013,112,3.70260002
FOODS_2,WI_1,2015-05-02,5,,2015,460,4.25199439
FOODS_2,TX_2,2012-03-07,3,,2012,674,3.91137908
FOODS_2,CA_1,2015-03-19,3,,2015,421,4.25869171
FOODS_2,TX_3,2012-09-23,9,,2012,429,4.007263
FOODS_2,CA_2,2012-02-16,2,,2012,190,3.83010504
FOODS_2,TX_2,2016-03-19,3,,2016,347,4.13144231
FOODS_2,CA_2,2014-09-05,9,,2014,145,4.11269833
FOODS_2,WI_3,2016-01-25,1,,2016,387,4.23066378
FOODS_2,CA_4,2013-08-05,8,,2013,209,4.1722096
FOODS_2,TX_3,2011-08-06,8,,2011,390,3.5444813
FOODS_2,CA_1,2011-05-25,5,,2011,386,3.83599994
FOODS_2,TX_1,2012-10-15,10,,2012,438,3.98380047
FOODS_2,TX_1,2013-12-04,12,,2013,243,4.06262127
FOODS_2,CA_1,2012-11-23,11,,2012,318,4.16998968
FOODS_2,WI_1,2015-03-04,3,,2015,520,4.28536244
FOODS_2,WI_3,2011-07-10,7,,2011,853,3.92634746
FOODS_2,WI_1,2013-11-25,11,,2013,334,4.15069868
FOODS_2,TX_3,2016-01-30,1,,2016,579,4.13513435
FOODS_2,TX_2,2013-07-13,7,Ramadan starts,2013,387,4.01755168
FOODS_2,WI_3,2016-04-20,4,,2016,515,4.21889657
FOODS_2,CA_1,2016-03-18,3,,2016,607,4.22366359
FOODS_2,CA_4,2011-06-17,6,,2011,334,3.92513918
FOODS_2,CA_2,2014-11-14,11,,2014,125,4.03475378
FOODS_2,WI_2,2015-02-13,2,,2015,892,4.24194556
FOODS_2,CA_2,2011-04-27,4,Pesach End,2011,109,3.43868316
FOODS_2,CA_3,2011-02-26,2,,2011,754,3.79323699
FOODS_2,CA_1,2012-10-04,10,,2012,427,4.16883545
FOODS_2,WI_1,2014-06-28,6,,2014,231,4.11298411
FOODS_2,TX_2,2011-11-16,11,,2011,415,3.80729417
FOODS_2,CA_1,2011-11-25,11,,2011,463,4.02467218
FOODS_2,TX_1,2013-04-12,4,OrthodoxEaster,2013,366,3.97787621
FOODS_2,TX_1,2013-02-14,2,ValentinesDay,2013,257,3.96583441
FOODS_2,CA_4,2012-10-08,10,ColumbusDay,2012,327,4.18643789
FOODS_2,WI_2,2015-03-14,3,,2015,1030,4.27930266
FOODS_2,CA_1,2015-09-04,9,,2015,625,4.2256441
FOODS_2,TX_3,2013-01-19,1,MartinLutherKingDay,2013,293,3.97235284
FOODS_2,CA_3,2013-03-15,3,,2013,840,4.03498804
FOODS_2,CA_4,2013-11-05,11,,2013,377,4.18554446
FOODS_2,TX_1,2013-02-24,2,,2013,371,3.99693083
FOODS_2,TX_1,2014-04-18,4,,2014,279,3.90910428
FOODS_2,TX_3,2012-11-09,11,,2012,263,4.00501588
FOODS_2,WI_1,2012-03-16,3,,2012,19,3.64121862
FOODS_2,WI_1,2014-03-08,3,,2014,367,4.17835749
FOODS_2,TX_1,2013-10-07,10,,2013,372,4.0587949
FOODS_2,WI_3,2013-11-13,11,,2013,369,4.17763163
FOODS_2,CA_3,2011-07-09,7,,2011,796,3.8735497
FOODS_2,CA_2,2013-04-10,4,,2013,135,3.69175376
FOODS_2,TX_2,2012-06-15,6,NBAFinalsEnd,2012,510,3.95031592
FOODS_2,WI_3,2015-08-03,8,,2015,409,4.24236946
FOODS_2,CA_3,2012-06-08,6,,2012,566,4.03681181
FOODS_2,CA_2,2013-09-06,9,,2013,109,3.72427946
FOODS_2,WI_3,2013-04-07,4,,2013,246,4.13503593
FOODS_2,CA_1,2015-01-14,1,,2015,479,4.20587122
FOODS_2,WI_2,2011-03-30,3,,2011,197,3.53682901
FOODS_2,CA_1,2015-07-18,7,Eid al-Fitr,2015,386,4.25001658
FOODS_2,TX_1,2012-02-10,2,,2012,341,3.90993934
FOODS_2,TX_1,2012-01-10,1,,2012,461,3.89543632
FOODS_2,WI_1,2015-04-04,4,,2015,442,4.25269423
FOODS_2,CA_2,2012-05-04,5,,2012,97,3.78497941
FOODS_2,CA_3,2014-02-26,2,,2014,618,3.9801011
FOODS_2,WI_3,2015-11-21,11,,2015,437,4.22438284
FOODS_2,CA_2,2011-04-25,4,,2011,103,3.41734428
FOODS_2,WI_2,2016-04-21,4,,2016,973,4.21491552
FOODS_2,WI_1,2011-07-20,7,,2011,42,3.62450468
FOODS_2,CA_1,2014-02-20,2,,2014,415,4.1770315
FOODS_2,WI_2,2012-07-01,7,,2012,350,3.99657041
FOODS_2,CA_2,2015-12-05,12,,2015,626,4.23012416
FOODS_2,WI_3,2013-08-29,8,,2013,312,4.15450521
FOODS_2,TX_1,2014-07-11,7,,2014,339,4.05181697
