dept_id,store_id,date,month,event_name_1,year,sales_sum,sell_price_avg
FOODS_1,CA_1,2013-08-31,8,,2013,461,3.24349058
FOODS_1,CA_1,2013-07-13,7,,2013,429,3.21930699
FOODS_2,CA_1,2013-12-03,12,,2013,450,4.16505563
FOODS_2,CA_1,2011-04-22,4,OrthodoxEaster,2011,358,3.82802534
FOODS_1,CA_1,2011-08-26,8,,2011,202,3.38326404
FOODS_1,CA_1,2015-12-30,12,,2015,302,3.30432986
FOODS_1,CA_1,2012-09-14,9,,2012,244,3.36320608
FOODS_2,CA_1,2012-03-20,3,,2012,437,4.10713921
FOODS_1,CA_1,2012-02-03,2,SuperBowl,2012,229,3.45504989
FOODS_3,CA_1,2011-03-11,3,,2011,1345,2.77638841
FOODS_2,CA_1,2016-03-01,3,Easter,2016,539,4.23023879
FOODS_3,CA_1,2014-12-04,12,,2014,1687,2.87285598
FOODS_3,CA_1,2014-08-04,8,,2014,2400,2.86239167
FOODS_1,CA_1,2013-06-20,6,NBAFinalsEnd,2013,448,3.2300493
FOODS_3,CA_1,2012-05-31,5,Cinco De Mayo,2012,1894,2.8473355
FOODS_3,CA_1,2015-10-10,10,,2015,2917,2.92716142
FOODS_3,CA_1,2014-06-30,6,,2014,1958,2.85006044
FOODS_3,CA_1,2013-05-28,5,,2013,1544,2.82496889
FOODS_1,CA_1,2013-01-31,1,,2013,432,3.34434878
FOODS_1,CA_1,2012-02-02,2,,2012,325,3.45346835
FOODS_3,CA_1,2012-05-18,5,,2012,2513,2.84526912
FOODS_3,CA_1,2012-03-20,3,,2012,1558,2.87408407
FOODS_3,CA_1,2016-04-12,4,,2016,2776,2.92569298
FOODS_3,CA_1,2012-11-01,11,,2012,1854,2.85747867
FOODS_2,CA_1,2014-05-26,5,,2014,467,4.08857633
FOODS_2,CA_1,2011-03-22,3,,2011,434,3.89804303
FOODS_1,CA_1,2011-09-08,9,,2011,171,3.38840657
FOODS_3,CA_1,2013-11-10,11,,2013,3680,2.83446149
FOODS_2,CA_1,2012-05-05,5,Cinco De Mayo,2012,580,4.0908747
FOODS_1,CA_1,2013-01-09,1,,2013,255,3.34613572
FOODS_2,CA_1,2015-09-18,9,,2015,462,4.24069453
FOODS_2,CA_1,2012-01-25,1,,2012,534,4.0607799
FOODS_2,CA_1,2012-05-17,5,,2012,309,4.14954453
FOODS_3,CA_1,2013-05-10,5,,2013,1704,2.82246407
FOODS_1,CA_1,2011-07-08,7,,2011,221,3.11232995
FOODS_2,CA_1,2016-04-03,4,,2016,571,4.22776812
FOODS_3,CA_1,2011-02-28,2,,2011,1127,2.78831762
FOODS_2,CA_1,2012-06-11,6,,2012,429,4.13516654
FOODS_2,CA_1,2013-08-25,8,,2013,344,4.15093488
FOODS_1,CA_1,2013-09-15,9,,2013,233,3.24390749
FOODS_1,CA_1,2011-02-27,2,,2011,268,2.98741844
FOODS_1,CA_1,2015-12-20,12,,2015,379,3.32761804
FOODS_1,CA_1,2011-08-18,8,,2011,109,3.37617969
FOODS_2,CA_1,2015-01-13,1,,2015,287,4.20272079
FOODS_3,CA_1,2015-10-23,10,,2015,1833,2.92668012
