dept_id,store_id,date,month,year,sales_sum,week_number
FOODS_2,WI_2,2011-06-10T00:00:00.000Z,6,2011,209,23
FOODS_2,WI_1,2013-07-19T00:00:00.000Z,7,2013,403,29
FOODS_2,CA_3,2013-09-12T00:00:00.000Z,9,2013,890,37
FOODS_2,CA_1,2012-05-25T00:00:00.000Z,5,2012,310,21
FOODS_2,CA_3,2014-08-26T00:00:00.000Z,8,2014,635,35
FOODS_2,TX_2,2016-02-18T00:00:00.000Z,2,2016,431,7
FOODS_2,CA_2,2015-11-10T00:00:00.000Z,11,2015,464,46
FOODS_2,WI_2,2012-01-27T00:00:00.000Z,1,2012,184,4
FOODS_2,TX_3,2014-03-07T00:00:00.000Z,3,2014,347,10
FOODS_2,CA_4,2015-11-01T00:00:00.000Z,11,2015,383,44
FOODS_2,WI_2,2012-11-12T00:00:00.000Z,11,2012,779,46
FOODS_2,TX_1,2014-02-09T00:00:00.000Z,2,2014,430,6
FOODS_2,TX_2,2011-11-15T00:00:00.000Z,11,2011,474,46
FOODS_2,CA_2,2016-02-09T00:00:00.000Z,2,2016,927,6
FOODS_2,WI_3,2013-08-23T00:00:00.000Z,8,2013,238,34
FOODS_2,CA_4,2011-08-29T00:00:00.000Z,8,2011,226,35
FOODS_2,TX_3,2012-02-15T00:00:00.000Z,2,2012,535,7
FOODS_2,CA_4,2011-04-27T00:00:00.000Z,4,2011,260,17
FOODS_2,CA_4,2014-08-14T00:00:00.000Z,8,2014,283,33
FOODS_2,TX_1,2015-04-02T00:00:00.000Z,4,2015,375,14
FOODS_2,CA_4,2015-10-26T00:00:00.000Z,10,2015,276,44
FOODS_2,WI_2,2015-02-17T00:00:00.000Z,2,2015,902,8
FOODS_2,TX_2,2014-06-18T00:00:00.000Z,6,2014,290,25
FOODS_2,CA_4,2013-06-29T00:00:00.000Z,6,2013,241,26
FOODS_2,TX_2,2012-02-07T00:00:00.000Z,2,2012,658,6
FOODS_2,CA_3,2013-03-02T00:00:00.000Z,3,2013,954,9
FOODS_2,CA_3,2014-11-10T00:00:00.000Z,11,2014,584,46
FOODS_2,CA_4,2014-02-03T00:00:00.000Z,2,2014,310,6
FOODS_2,WI_2,2015-11-10T00:00:00.000Z,11,2015,522,46
FOODS_2,WI_1,2012-11-29T00:00:00.000Z,11,2012,212,48
FOODS_2,WI_2,2011-10-01T00:00:00.000Z,10,2011,90,39
FOODS_2,WI_1,2012-09-30T00:00:00.000Z,9,2012,320,39
FOODS_2,CA_4,2011-09-06T00:00:00.000Z,9,2011,330,36
FOODS_2,CA_1,2014-08-23T00:00:00.000Z,8,2014,447,34
FOODS_2,WI_1,2014-09-23T00:00:00.000Z,9,2014,488,39
FOODS_2,TX_3,2012-05-25T00:00:00.000Z,5,2012,238,21
FOODS_2,WI_2,2011-05-25T00:00:00.000Z,5,2011,195,21
FOODS_2,TX_1,2016-04-19T00:00:00.000Z,4,2016,370,16
FOODS_2,CA_1,2014-09-12T00:00:00.000Z,9,2014,364,37
FOODS_2,TX_1,2014-06-09T00:00:00.000Z,6,2014,392,24
FOODS_2,TX_3,2013-05-16T00:00:00.000Z,5,2013,479,20
FOODS_2,CA_2,2011-07-23T00:00:00.000Z,7,2011,102,29
FOODS_2,CA_4,2012-10-19T00:00:00.000Z,10,2012,288,42
FOODS_2,CA_3,2013-03-09T00:00:00.000Z,3,2013,677,10
FOODS_2,CA_3,2012-12-26T00:00:00.000Z,12,2012,541,52
FOODS_2,TX_1,2014-08-22T00:00:00.000Z,8,2014,317,34
FOODS_2,CA_4,2012-03-11T00:00:00.000Z,3,2012,349,10
FOODS_2,CA_4,2013-06-17T00:00:00.000Z,6,2013,273,25
FOODS_2,WI_3,2014-08-20T00:00:00.000Z,8,2014,358,34
FOODS_2,TX_2,2013-07-11T00:00:00.000Z,7,2013,573,28
FOODS_2,TX_2,2011-07-23T00:00:00.000Z,7,2011,264,29
FOODS_2,CA_1,2011-06-02T00:00:00.000Z,6,2011,643,22
FOODS_2,TX_3,2013-06-17T00:00:00.000Z,6,2013,397,25
FOODS_2,CA_3,2013-01-18T00:00:00.000Z,1,2013,574,3
FOODS_2,WI_2,2014-12-04T00:00:00.000Z,12,2014,449,49
FOODS_2,TX_1,2014-04-25T00:00:00.000Z,4,2014,243,17
FOODS_2,TX_2,2011-09-08T00:00:00.000Z,9,2011,388,36
FOODS_2,CA_1,2013-05-07T00:00:00.000Z,5,2013,500,19
FOODS_2,CA_3,2011-06-01T00:00:00.000Z,6,2011,490,22
FOODS_2,CA_4,2012-01-04T00:00:00.000Z,1,2012,291,1
